generation,best_fitness
0,14560
1,14116
2,13682
3,13284
4,12883
5,12493
6,12115
7,11745
8,11405
9,11055
10,10734
11,10424
12,10129
13,9832
14,9529
15,9251
16,8976
17,8697
18,8426
19,8165
20,7916
21,7675
22,7450
23,7235
24,7007
25,6803
26,6594
27,6408
28,6225
29,6050
30,5875
31,5701
32,5526
33,5364
34,5211
35,5052
36,4915
37,4784
38,4630
39,4505
40,4384
41,4247
42,4131
43,4010
44,3889
45,3770
46,3650
47,3536
48,3449
49,3359
50,3258
51,3153
52,3050
53,2960
54,2864
55,2779
56,2712
57,2631
58,2561
59,2482
60,2422
61,2340
62,2282
63,2217
64,2157
65,2085
66,2041
67,1981
68,1913
69,1862
70,1805
71,1766
72,1723
73,1680
74,1647
75,1614
76,1566
77,1527
78,1477
79,1444
80,1392
81,1341
82,1311
83,1268
84,1243
85,1204
86,1159
87,1141
88,1103
89,1086
90,1046
91,1016
92,983
93,957
94,938
95,925
96,898
97,866
98,841
99,816
100,787
101,774
102,748
103,737
104,733
105,722
106,710
107,680
108,668
109,657
110,632
111,620
112,614
113,592
114,569
115,555
116,540
117,521
118,524
119,518
120,514
121,505
122,486
123,482
124,467
125,468
126,467
127,466
128,443
129,426
130,429
131,407
132,409
133,396
134,386
135,372
136,352
137,337
138,345
139,354
140,351
141,358
142,359
143,348
144,333
145,333
146,328
147,320
148,328
149,337
150,336
151,329
152,313
153,301
154,285
155,273
156,277
157,275
158,273
159,262
160,267
161,266
162,261
163,271
164,270
165,263
166,256
167,245
168,231
169,230
170,228
171,213
172,220
173,204
174,214
175,200
176,188
177,192
178,181
179,190
180,195
181,189
182,193
183,197
184,203
185,202
186,193
187,188
188,188
189,190
190,185
191,186
192,191
193,188
194,194
195,186
196,186
197,183
198,178
199,179
200,177
201,173
202,176
203,173
204,165
205,167
206,174
207,166
208,161
209,164
210,165
211,164
212,157
213,156
214,150
215,144
216,151
217,145
218,141
219,137
220,144
221,141
222,141
223,146
224,144
225,142
226,143
227,147
228,150
229,156
230,162
231,157
232,156
233,155
234,149
235,151
236,143
237,142
238,141
239,133
240,128
241,122
242,122
243,117
244,111
245,114
246,109
247,109
248,110
249,118
250,117
251,114
252,122
253,122
254,130
255,136
256,134
257,129
258,125
259,131
260,135
261,140
262,145
263,151
264,144
265,139
266,132
267,137
268,139
269,134
270,133
271,132
272,131
273,138
274,134
275,139
276,136
277,136
278,142
279,141
280,135
281,141
282,136
283,129
284,122
285,117
286,117
287,115
288,121
289,129
290,137
291,135
292,139
293,132
294,130
295,135
296,127
297,132
298,133
299,140
300,141
301,146
302,153
303,149
304,147
305,148
306,146
307,139
308,132
309,135
310,128
311,122
312,130
313,128
314,122
315,117
316,115
317,110
318,105
319,105
320,110
321,106
322,106
323,100
324,95
325,101
326,104
327,105
328,104
329,107
330,107
331,108
332,113
333,110
334,112
335,119
336,122
337,117
338,110
339,117
340,113
341,108
342,107
343,108
344,105
345,109
346,104
347,104
348,108
349,110
350,108
351,115
352,117
353,110
354,112
355,108
356,105
357,106
358,102
359,98
360,95
361,96
362,98
363,97
364,100
365,99
366,100
367,108
368,109
369,103
370,98
371,104
372,105
373,99
374,92
375,95
376,92
377,93
378,91
379,98
380,104
381,97
382,93
383,88
384,85
385,79
386,83
387,80
388,86
389,83
390,77
391,79
392,83
393,77
394,81
395,80
396,80
397,76
398,80
399,86
400,83
401,83
402,81
403,79
404,85
405,78
406,76
407,79
408,85
409,85
410,86
411,84
412,80
413,85
414,79
415,87
416,87
417,86
418,93
419,97
420,99
421,99
422,99
423,92
424,91
425,96
426,99
427,100
428,95
429,96
430,100
431,105
432,108
433,101
434,97
435,98
436,96
437,97
438,91
439,87
440,93
441,97
442,100
443,106
444,102
445,107
446,106
447,107
448,101
449,107
450,100
451,99
452,103
453,109
454,104
455,107
456,110
457,106
458,108
459,110
460,116
461,119
462,124
463,126
464,123
465,122
466,128
467,133
468,131
469,133
470,138
471,130
472,132
473,134
474,132
475,138
476,140
477,146
478,152
479,158
480,156
481,163
482,160
483,154
484,155
485,157
486,151
487,150
488,151
489,150
490,148
491,144
492,136
493,129
494,129
495,137
496,131
497,138
498,143
499,141
